id_categories,categories
1,Religion
2,Music
3,Education
4,Fiction
5,Business & Economics
6,Cooking
7,Cuban American families
8,Psychology
9,Science
10,Art
11,Philosophy
12,Gardening
13,Computers
14,Family & Relationships
15,Nature
16,Comics & Graphic Novels
17,Sports & Recreation
18,History
19,Juvenile Nonfiction
20,Reference
21,Juvenile Fiction
22,Mathematics
23,True Crime
24,Foreign Language Study
25,"Body, Mind & Spirit"
26,Medical
27,Dieu - Amour
28,Literary Collections
29,Literary Criticism
30,Political Science
31,Social Science
32,Self-Help
33,Travel
34,Childrens literature
35,Dolls
36,Technology & Engineering
37,Games
38,Language Arts & Disciplines
39,Antiques & Collectibles
40,Biography & Autobiography
41,"Authors, American"
42,Theology
43,Motherhood
44,Health & Fitness
45,Poetry
46,Performing Arts
47,Young Adult Fiction
48,Pets
49,FICTION
50,Violin
51,Bratislava (Slovakia)
52,Crafts & Hobbies
53,Transportation
54,Earth (Planet)
55,Humor
56,Bible
57,Fairy tales
58,Drama
59,Architecture
60,Law
61,Photography
62,Fantasy fiction
63,JUVENILE FICTION
64,Carnival
65,Saturn launch vehicles.
66,Computer architecture
67,Games & Activities
68,African American lesbians
69,Spanish literature
70,"Architecture, Roman"
71,Golf
72,Design
73,Lunar surface vehicles
74,House & Home
75,Space vehicles
76,Lesbians
77,Abandoned children
78,Domestic animals
79,Child rearing
80,Calculus
81,"Childrens literature, English"
82,Wizards
83,Computer-aided design
84,Homeless persons
85,Indian women
86,Exercise
87,Business travel.
88,Atomic structure
89,Boats and boating
90,Self (Philosophy).
91,Behavior
92,Bulimia
93,Bibles
94,Study Aids
95,Bar mitzvah
96,Childrens stories
97,Adventure stories
98,Conspiracies
99,Authorship
100,Buddhism
101,BUSINESS & ECONOMICS
102,Distributed operating systems (Computers)
103,Gold mines and mining
104,Poland
105,Prophecies (Occultism)
106,Bass guitar
107,"Balsan, Consuelo Vanderbilt"
108,Ethiopia
109,Theosophy
110,United States
111,New York (N.Y.)
112,Genetic disorders
113,Farm life
114,Cooperative societies
115,Public speaking
116,"Art, Modern"
117,African American women
118,Electronic books
119,East Asia
120,"Sinclair, Paul (Fictitious character)"
121,Categories (Philosophy)
122,Big Sur Region (Calif.)
123,Creative thinking
124,Crime
125,Cardiology
126,Self-actualization (Psychology)
127,Niagara Falls (N.Y. and Ont.)
128,Detective and mystery stories
129,Mammals
130,Fast food restaurants
131,English language
132,Christianity and other religions
133,American fiction
134,Islam
135,Computer software
136,"Depression, Mental"
137,"Beauty, Personal"
138,Ghosts
139,FAMILY & RELATIONSHIPS
140,Boys
141,Corporations
142,Horses
143,Lewis and Clark Expedition
144,African Americans
145,Sailboats
146,Advaita
147,African American painters
148,Director (Computer file)
149,Internal medicine
150,Volkswagen Polo automobile
151,Art deco (Architecture)
152,Russian language
153,"Authors, English"
154,C (Computer program language)
155,Anatomy
156,Microsoft .NET Framework
157,Administrative agencies
158,"Australian wit and humor, Pictorial"
159,Orkney (Scotland)
160,Proverbs
161,HISTORY
162,Adoptees
163,Bullies
164,Entropy
165,Russia (Federation)
166,Meat
167,Community organization
168,Anabaptists
169,Child Welfare
170,Automobiles
171,Hatha yoga
172,African Language
173,Motion picture producers and directors
174,Horror films
175,Good and evil
176,Families
177,Silver jewelry
178,Differential equations
179,Environmental protection
180,Loss (Psychology)
181,Board books
182,Health promotion
183,Ciphers
184,Chicago (Ill.)
185,Germany
186,Feminist economics
187,Antisemitism
188,Silhouettes
189,Amsterdam (Netherlands)
190,Vienna (Austria)
191,Citation of legal authorities
192,North Carolina
193,Computer networks
194,Civil disobedience
195,English fiction
196,ART
197,New England
198,World Series (Baseball)
199,Domestic fiction
200,Fairies
201,Employee motivation
202,"Childrens stories, English"
203,GAMES
204,"Artillery, Field and mountain"
205,Incas
206,Behavior disorders in children
207,Insects
208,Success
209,Guineafowl
210,COMPUTERS
211,Plantation life
212,Audiobooks
213,Cooking (Wine)
214,Mortars (Ordnance)
215,BIOGRAPHY & AUTOBIOGRAPHY
216,Food
217,Legal research
218,Ocean travel
219,Digital media
220,Keyboarding
221,Desserts
222,Czech Americans
223,Counterculture
224,Newspapers
225,Common bean
226,Food supply
227,Kings Canyon National Park (Calif.)
228,Computer graphics
229,Composers
230,Greek poetry
231,Activity programs in education
232,Cake decorating
233,Canadian fiction
234,People with disabilities
235,Deverry (Imaginary place)
236,Koi
237,American Sign Language
238,College readers
239,Christian life
240,China
241,Martial arts
242,Emigration and immigration
243,Fire fighters
244,Home economics
245,Charms
246,BIBLES
247,Behavior modification
248,Hispanic Americans
249,Sunflowers
250,Angels
251,Popular culture
252,Anger
253,Murder
254,"World War, 1939-1945"
255,Solar collectors
256,Algeria
257,Tarot
258,Desolation Wilderness (Calif.)
259,Werewolves
260,Man-woman relationships
261,Painting
262,Agriculture
263,Hopi Indians
264,Anglican Communion
265,SAT (Educational test)
266,Colombo (Sri Lanka)
267,Adultery
